date_id,date,month,quarter,year
20250106,1/6/2025,1,1,2025
20250114,1/14/2025,1,1,2025
20250127,1/27/2025,1,1,2025
20250203,2/3/2025,2,1,2025
20250219,2/19/2025,2,1,2025
20250304,3/4/2025,3,1,2025
20250315,3/15/2025,3,1,2025
20250328,3/28/2025,3,1,2025
20250409,4/9/2025,4,2,2025
20250414,4/14/2025,4,2,2025
20250425,4/25/2025,4,2,2025
20250511,5/11/2025,5,2,2025
20250523,5/23/2025,5,2,2025
20250530,5/30/2025,5,2,2025
20250615,6/15/2025,6,2,2025
20250620,6/20/2025,6,2,2025
20250629,6/29/2025,6,2,2025
20250705,7/5/2025,7,3,2025
20250721,7/21/2025,7,3,2025
20250729,7/29/2025,7,3,2025
20250803,8/3/2025,8,3,2025
20250818,8/18/2025,8,3,2025
20250829,8/29/2025,8,3,2025
20250905,9/5/2025,9,3,2025
20250912,9/12/2025,9,3,2025
20250925,9/25/2025,9,3,2025
20251006,10/6/2025,10,4,2025
20251021,10/21/2025,10,4,2025
20251030,10/30/2025,10,4,2025
20251108,11/8/2025,11,4,2025
20251119,11/19/2025,11,4,2025
20251127,11/27/2025,11,4,2025
20251201,12/1/2025,12,4,2025
20251209,12/9/2025,12,4,2025
20251215,12/15/2025,12,4,2025
